Desa,Kecamatan,Kabupaten,Provinsi,kWp,Luas Lahan (Ha),Jumlah Petani,Link Google Map
Talawi Mudik,Talawi,Sawahlunto,Sumatera Barat,19,19,60,https://maps.app.goo.gl/H5AyNyiREg2NUdhY7
Trimulyo,Tegineneng,Pesawaran,Lampung,39,128,194,https://maps.app.goo.gl/X3qwpVHQXUtppHRw6
Tanjung Raja,Muara Enim,Muara Enim,Sumatera Selatan,17,10,43,https://maps.app.goo.gl/eBTww6QfSU2JCq197
Nanjungan,Merapi Timur,Lahat,Sumatera Selatan,28,83,60,https://maps.app.goo.gl/qGwdUTtcbkLLu87f7
Rejosari Mataram,Seputih Mataram,Lampung Tengah,Lampung,53,50,100,https://maps.app.goo.gl/bkwY1bjWU7hjjJVW9
Karang Raja,Muara Enim,Muara Enim,Sumatera Selatan,38,32,121,https://maps.app.goo.gl/ki1JGF7QKqJ9zuhq5
Muara Lawai,Muara Enim,Muara Enim,Sumatera Selatan,58,109,268,https://maps.app.goo.gl/mxs5UPTRVMzeK7Tr5
Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,12,15,25,https://maps.app.goo.gl/AS66nnoANhUbrkR49
Lugusari,Pagelaran,Pringsewu,Lampung,23,153,234,https://maps.app.goo.gl/qTPmg13zkYwQ9SUq8
Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,12,20,20,https://maps.app.goo.gl/qTPmg13zkYwQ9SUq8
Matas,Tanjung Agung,Muara Enim,Sumatera Selatan,12,15,44,https://maps.app.goo.gl/9u4QVNpjKVz5W39m6
Muara Gula,Ujan Mas,Muara Enim,Sumatera Selatan,7,4,20,https://maps.app.goo.gl/G7kbsJRvor9W8BPWA
