Bulan,Tahun,Program,Realisasi,Rencana kerja
Jan,2026,PLTS IRIGASI,"Sharing Session Implementasi Pembangkit Listrik Tenaga Surya (PLTS) untuk Irigasi di Grup MIND ID dihadiri oleh PT KMI (Kaltim Methanol Industri), Danone Indonesia, instansi lainnya
Penandatanganan BAST PLTS Muara Gula Baru (Menunggu TTD Dandim Kodim 0404/Muara Enim)
Pemasangan Stiker dan tanda tegangan tinggi di PLTS Muara Gula Baru","Pengecekan kembali jalur pipa distribusi PLTS Nanjungan
Pelatihan operator PLTS Muara Gula Baru (setelah BAST selesai di TTD Kodim)"
Jan,2026,BUDIDAYA MAGGOT,"Sebanyak 7 Orang Eks. PETI yang tergabung di Kelompok budidaya maggot Kumata Desa Tanjung Agung
Pemanfaatan sampah Organik pada Januari 2026 ini sebanyak 1.235 Kg yang didapat di Limbah Rumah Tangga, Limbah Rumah Makan/Bakso dan Limbah Pasar Kamis Desa Tanjung Agung","Penjajakan Kerjasama dengan pengusaha ikan lele di Desa Tanjung Karangan
Penguatan sektor hilir maggot: Kasgot (bekas maggot) menjadi kompos dan POC (Pupuk Organik Cair)"
Jan,2026,BUDIDAYA IKAN AIR TAWAR,"Sebanyak 9 Orang Eks. PETI dan Karang Taruna yang tergabung di Kelompok Budidaya Ikan Putra Susukan 
Penjualan di lingkungan Sekitar Kolam Binaan, Terdiri dari Masyarakat Lingkungan Sekitar, Pasar Tradisional/Kalangan, serta Kerjasama pasar dengan Owner Dutta Koffie Tanjung Enim
Adanya kegiatan kunjungan Sekretaris DPRD Kab. Muara Enim ke Kolam Kelompok Budidaya Ikan Putra Susukan Desa Tanjung Agung
Adanya pengaplikasian Maggot Sebanyak 15 Kg di kolam Kelompok Budidaya Ikan Putra Susukan","Dilakukan pegembangan usaha pemancingan di lokasi Kolam Binaan Kelompok Putra Susukan Desa Tanjung Agung (Pembangunan Naungan Rangka Baja Volumen 20 M2 )
Optimasi pakan maggot kering "
Jan,2026,SIBA PEMBIBITAN,"Sosialisasi dari Balai Kesehatan Pencegahan Penyakit Degenaratif (Baturaja) kerjasama dengan Pemerintah Kecamatan. Peserta dari SIBA Pembibitan dan lansia sekitar (13 orang)
Dokumentasi oleh tim Corsec untuk laporan tahunan
Pembuatan video dokumenter dari Media Tempo perihal Illegal Minning (PETI)
Pembuatan video PROPER dari tim Sustainability","Berkoordinasi dengan Tim Program Wisata Edukasi untuk menambah pembelajaran pembibitan bagi anak sekolah
Persiapan pembibitan tanaman buah untuk pemasaran Tabulampot (Tanaman Buah Dalam Pot)"
Jan,2026,BUDIDAYA PUYUH SELEMAN,"Sebanyak 5 Orang Eks. PETI tergabung di Kelompok Budidaya Burung Puyuh Bangsal Pematang 
Telah dilakukan penjualan telur puyuh dipasar sekitar terdiri dari pasar Tanjung Enim dengan 2 agen tetap dan Pasar Kalangan Desa Seleman Setiap hari jumat dan agen Baturaja
Burung puyuh yang produktif sebanyak 2.000 Ekor","Perbaikan Tempat Penampungan Kohe Puyuh untuk selanjutnya dikeringkan dan dikemas menjadi pupuk organik
Pelatihan management dan tata Kelola kelompok"
Jan,2026,BUDIDAYA PUYUH PETELUR DARMO,"Sebanyak 14 Orang Eks. PETI tergabung di Kelompok Peternakan Burung Puyuh Simpang Karso Desa Darmo 
Jumlah indukan puyuh saat ini sebanyak 11.226 Ekor
Adanya bantuan bibit burung puyuh sebanyak 2000 Ekor dan pakan starter burung puyuh sebanyak 30 Karung (Kandang ke 5) dari PTBA untuk pengelola kandang (Bpk. Edi Suyana) serta pembangunan kandang indukan dan kandang bertingkat merupakan peran serta Kelompok PPSKD Desa Darmo
Adanya pekerjaan pembangunan kandang (Kandang ke 6) di kelompok Peternakan Puyuh simpang Karso Desa Darmo ( On Progres 50%)","Penjajakan Kerjasama (PKS) dengan Agen telur Puyuh Belitang OKU Timur dan Pasar Palembang;
Peluang pasar yang tinggi, direncanakan adanya penambahan kandang indukan burung puyuh (Kandang ke 6), bantuan indukan burung puyuh 2000 Ekor dan pakan starter dari PTBA dengan pengelola kandangn (Bpk. Hairul Dahlan ) "
Jan,2026,ECOGROW MOM KWT UTUN MAKMUR,"Penambahan pengerjaan plester dinding dan pembuatan bak kontrol air limpasan (residu)
Pembersihan area kandang
Pemesanan bibit itik, pakan starter dan vitamin","Distribusi bibit itik, pakan starter dan vitamin
Pelatihan manajemen budidaya itik petelur dan penguatan tim (internalisasi budaya akhlak)"
Jan,2026,POKTAN CAHAYA TANI,"Sebanyak 21 Orang Eks. Pekerja PETI, Ibu RT dan MBR Yang tergabung di Kelompok Wanita Tani Utun Makmur Desa Tanjung Karangan;
Adanya pemberdayaan ibu rumah tangga sebanyak 100 Orang dengan pemanfaatan limbah rumah tangga (Karung bekas) dalam mengelola 5000 bibit tanaman dapur terdiri dari cabe 2000 bibit, terong 1500 bibit dan tomat 1500 bibit; 
Adanya perkembangan bibit di lahan KWT Berupa  Bibit Terong 465 Batang, bibit cabe, 895 batang dan bibit tomat 261 batang dengan pertumbuhan sangat baik;
Kegiatan gotong royong telah dilaksanakan dibulan ini sebanyak 4X, dimana kegiatan dilakukan setiap hari jumat sore.","Adanya rencana Kerjasama dengan pengelolah mini zoo terkait supply pakan ternak di area mini zoo Tanjung Enim;
Adanya pelatihan dasar terkait pembibitan, pengenalan hama tanaman dan cara mengatasinya melibatkan Narasumber Internal dan Eksternal"
Jan,2026,BUDIDAYA ITIK PETELUR,"Sebanyak 9 Orang Eks. Pekerja PETI Yang tergabung di Kelompok Pembibitan Cahaya Tani Desa Darmo;
Adanya pengadaan bibit sawit sebanyak 3000 Batang yang dilakukan oleh kelompok cahaya tani desa darmo sebagai Langkah awal untuk mengisi bedengan (Swadaya);
Adanya penyemaian bibit cabe sebanyak 108 Polibag dan Terong 343 Polibag dengan usia bibit 21 hari;
Adanya Pekerjaan Pembangunan Toilet Umum (50%)","Melanjutkan Pekerjaan Pembangunan Toilet Umum.
Mendaftkarkan legalitas berupa Akta Notaris
Akan dilakukan penanaman tanaman labu kuning"
Jan,2026,SUSCOMDEV LINGKAR TAMBANG,"Pembangunan Gazebo 3 unit done
Perataan tanah untuk Green House done
Pembangunan 3 unit rangka Green House done
Pengerasan area hamparan memanfaatkan material pecahan paving block bekas bongkaran GOR Berangau in progress 20%
Rapat koordinasi dengan mitra kerja tanggal 30 Januari 2026","Pengadaan kaos seragam kelompok tani
Pekerjaan paving blok
Penambahan PJU 6 titik
Pembangunan toilet
Penambahan batu split untuk pengerasan lahan
Benchmark penyedia jasa teknologi Smart Farming (Otomasi sistem pengecekan kualitas air, penyiraman, dan pemberian mikro-makro nutrisi)"
Jan,2026,SUSCOMDEV PRABUMENANG,"Total Penjualan Tempe 2 Kelompok bulan Januari 2026 = 35 kg, dengan omzet Rp525.000.
Total Penjualan Olahan Tempe 2 Kelompok bulan Januari 2026 = 27 kg, dengan omzet Rp3.240.000.
Total omzet bulan Januari 2026 Rp3.765.000","Kolaborasi dengan MSEF untuk persiapan & pemantapan Kripik Tempe Pramela menjadi salah satu souvenir (snack) di RBUMN Muara Enim.
Pendampingan pengurusan izin PIRT, BPOM, dan Sertifikasi Halal.
Pengadaan mesin pemotong tempe.
Pengadaan sarana penunjang produksi (wajan, kompor, spatula, peniris)."
Jan,2026,BUDIDAYA RAS SYSTEM,"Pekerjaan pengerasan hamparan area kolam 40%
Pembangunan kluster area kolam ikan 50% (tahap plester)
Pekerjaan rangka atas & atap 40%","Pekerjaan pemasangan paving block
Pekerjaan kansteen
Pekerjaan sumur dan instalasi sanitasi
Pekerjaan jalan dan jembatan"
