Desa/Kelurahan,Kecamatan,Kabupaten,Provinsi,Program PPM,Sektor,Lokasi,Latitude,Longitude
Desa Lingga,Lawang Kidul,Muara Enim,Sumatera Selatan,Suscomdev Lingkar Tambang - Smart Green House Melon.,Perkebunan,https://maps.app.goo.gl/uPoEsgq6nyTNq5Un9,-3.7362266,103.7994481
Desa Tegal Rejo,Lawang Kidul,Muara Enim,Sumatera Selatan,Program Itik Petelur - Telur Omega.,Peternakan,https://maps.app.goo.gl/ZPm6h2MpnNF73x4W7,-3.7558382,103.8079832
Kelurahan Pasar Tanjung Enim,Lawang Kidul,Muara Enim,Sumatera Selatan,Santri Agropreneur Al Barokah - Pembibitan Tanaman Kayu Keras & Hidroponik Sayur.,Perkebunan,https://maps.app.goo.gl/YLYPSfz3X1wb3fwZ8,-3.7543829,103.7870949
Kelurahan Tanjung Enim,Lawang Kidul,Muara Enim,Sumatera Selatan,SIBA CENTER,Industri,https://maps.app.goo.gl/ByVJNxuAHaxryvBA9,-3.7595259,103.7699775
Kelurahan Tanjung Enim Selatan,Lawang Kidul,Muara Enim,Sumatera Selatan,-,Perkebunan,https://maps.app.goo.gl/55aWEUL6eJuZoPv2A,-3.7595259,103.7699775
Desa Keban Agung,Lawang Kidul,Muara Enim,Sumatera Selatan,Kolam Pangan Terpadu - Budidaya Ikan Air Tawar RAS System & Hidroponik Sayur.,Perikanan,https://maps.app.goo.gl/QF2j6k2KmRBddzBQ6,-3.7680296,103.8652964
Desa Darmo,Lawang Kidul,Muara Enim,Sumatera Selatan,Budidaya Puyuh Petelur,Peternakan,https://maps.app.goo.gl/iYRwrATHEoR62hBd9,-3.8082522,103.8005572
Desa Darmo,Lawang Kidul,Muara Enim,Sumatera Selatan,Cahaya Tani,Perkebunan,https://maps.app.goo.gl/iYRwrATHEoR62hBd9,-3.8082522,103.8005572
Desa Tanjung Raja,Muara Enim,Muara Enim,Sumatera Selatan,Pembibitan Tanjung Raja,Perkebunan,https://maps.app.goo.gl/4crLQPq4aaZu4j8k9,-3.701895,103.8003269
Desa Tanjung Raja,Muara Enim,Muara Enim,Sumatera Selatan,PLTS Irigasi Tanjung Raja,Insfrastruktur,https://maps.app.goo.gl/4crLQPq4aaZu4j8k9,-3.701895,103.8003269
Desa Karang Raja,Muara Enim,Muara Enim,Sumatera Selatan,PLTS Irigasi Karang Raja,Insfrastruktur,https://maps.app.goo.gl/TLQTXW6L9fDuQt6n8,-3.6816109,103.8003335
Kelurahan Air Lintang,Muara Enim,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/csk8uSv4Mm9Y4eoSA,-3.6731871,103.7723663
Desa Tanjung Lalang,Tanjung Agung,Muara Enim,Sumatera Selatan,Rencana Pembangunan PLTS Irigasi Tanjung Lalang.,Insfrastruktur,https://maps.app.goo.gl/aCoExb6WbTD166fi6,-3.847686,103.7848165
Desa Pulau Panggung,Tanjung Agung,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/53ftiU9Sf2AASoFu8,-3.8310684,103.7972089
Desa Penyandingan,Tanjung Agung,Muara Enim,Sumatera Selatan,Persiapan Pengembangan Tanaman Alpukat,Perkebunan,https://maps.app.goo.gl/tUR3fE9FWShAb2u4A,-3.8310684,103.7972089
Desa Penyandingan,Tanjung Agung,Muara Enim,Sumatera Selatan,Persiapan Budidaya Lele,Perikanan,https://maps.app.goo.gl/tUR3fE9FWShAb2u4A,-3.8310684,103.7972089
Desa Seleman,Tanjung Agung,Muara Enim,Sumatera Selatan,Budidaya Puyuh Petelur.,Peternakan,https://maps.app.goo.gl/wSZuY4DzxUGWbFU87,-3.8648859,103.7714915
Desa Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,SIBA Pembibitan,Perkebunan,https://maps.app.goo.gl/s1hYABG8EhYrzFJ28,-3.89491,103.8012534
Desa Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,EcoGrow Mom Utun Makmur,Perkebunan,https://maps.app.goo.gl/s1hYABG8EhYrzFJ28,-3.89491,103.8012534
Desa Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,PLTS Irigasi Tanjung Karangan,Insfrastruktur,https://maps.app.goo.gl/s1hYABG8EhYrzFJ28,-3.89491,103.8012534
Desa Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,BARA Agro Sirkuler - Budidaya Ikan Air Tawar,Perikanan,https://maps.app.goo.gl/F9a54e3gsMFddX3g9,-3.9438075,103.7948504
Desa Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,PLTS Irigasi Tanjung Agung,Insfrastruktur,https://maps.app.goo.gl/F9a54e3gsMFddX3g9,-3.9438075,103.7948504
Desa Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,Pengelolaan Sampah Organik dan Budidaya Maggot,Industri,https://maps.app.goo.gl/F9a54e3gsMFddX3g9,-3.9438075,103.7948504
Desa Bangun Sari,Gunung Megang,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/iHGNzL4GYopyirRZ7,-3.631918,103.8878035
Desa Suban Jeriji,Rambang Niru,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/ov3dLWgCf58mfbfx5,-3.631918,103.8878035
Desa Lubai Makmur,Lubai Ulu,Muara Enim,Sumatera Selatan,-,,https://maps.app.goo.gl/Y9ugXT8FKjegJ6FY9,-3.8799699,103.9852659
