Desa,Kecamatan,Kabupaten,Provinsi,kWp,Luas Lahan (Ha),Jumlah Petani,Link Google Map/Google Earth,Keterangan,id,lat,lng
Talawi Mudik,Talawi,Sawahlunto,Sumatera Barat,19,19,60,"https://www.google.com/maps/place/0%C2%B034'49.4%22S+100%C2%B043'45.0%22E/@-0.5809565,100.7291707,1069m/data=!3m1!1e3!4m4!3m3!8m2!3d-0.5803889!4d100.729175?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,1,-0.5809565,100.7291707
Trimulyo,Tegineneng,Pesawaran,Lampung,39,128,154,"https://www.google.com/maps/place/5%C2%B010'47.9%22S+105%C2%B007'15.4%22E/@-5.1799806,105.1209472,1136m/data=!3m1!1e3!4m4!3m3!8m2!3d-5.1799806!4d105.1209472?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,2,-5.1799806,105.1209472
Tanjung Raja,Muara Enim,Muara Enim,Sumatera Selatan,17,10,43,"https://www.google.com/maps/place/3%C2%B042'10.6%22S+103%C2%B047'54.0%22E/@-3.7029333,103.798325,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.7029333!4d103.798325?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Ring 1 TEMS,3,-3.7029333,103.798325
Nanjungan,Merapi Timur,Lahat,Sumatera Selatan,28,83,60,"https://www.google.com/maps/place/3%C2%B038'11.5%22S+103%C2%B042'41.0%22E/@-3.6365389,103.7113944,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.6365389!4d103.7113944?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,4,-3.6365389,103.7113944
Rejosari Mataram,Seputih Mataram,Lampung Tengah,Lampung,53,50,100,"https://www.google.com/maps/place/4%C2%B051'28.8%22S+105%C2%B020'11.6%22E/@-4.858,105.3365444,1135m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-4.858!4d105.3365444?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Ring 1 TEMS,5,-4.85800,105.3365444
Karang Raja,Muara Enim,Muara Enim,Sumatera Selatan,38,32,121,"https://www.google.com/maps/place/3%C2%B041'39.9%22S+103%C2%B047'53.0%22E/@-3.6944167,103.7980417,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.6944167!4d103.7980417?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Ring 1 TEMS,6,-3.6944167,103.7980
Muara Lawai,Muara Enim,Muara Enim,Sumatera Selatan,58,109,268,"https://www.google.com/maps/place/3%C2%B038'45.6%22S+103%C2%B044'24.0%22E/@-3.6459944,103.7399944,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.6459944!4d103.7399944?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,7,-3.6459944,103.7400
Tanjung Agung,Tanjung Agung,Muara Enim,Sumatera Selatan,12,15,25,"https://www.google.com/maps/place/3%C2%B056'08.2%22S+103%C2%B048'08.4%22E/@-3.9356194,103.8023389,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.9356194!4d103.8023389?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Ring 1 TEMS,8,-3.9356194,103.8023389
Lugusari,Pagelaran,Pringsewu,Lampung,23,153,234,"https://www.google.com/maps/place/5%C2%B021'13.9%22S+104%C2%B052'43.5%22E/@-5.3538528,104.8787389,1134m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-5.3538528!4d104.8787389?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,9,-5.3538528,104.8787389
Tanjung Karangan,Tanjung Agung,Muara Enim,Sumatera Selatan,12,20,20,"https://www.google.com/maps/place/3%C2%B054'53.2%22S+103%C2%B047'46.3%22E/@-3.9147461,103.7958373,1137m/data=!3m1!1e3!4m4!3m3!8m2!3d-3.9147889!4d103.7961806?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Ring 1 TEMS,10,-3.9147461,103.7958373
Matas,Tanjung Agung,Muara Enim,Sumatera Selatan,12,15,44,"https://www.google.com/maps/place/3%C2%B057'03.0%22S+103%C2%B048'08.7%22E/@-3.9508194,103.8024111,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.9508194!4d103.8024111?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,11,-3.9508194,103.8024111
Muara Gula,Ujan Mas,Muara Enim,Sumatera Selatan,7,4,20,"https://www.google.com/maps/place/3%C2%B034'45.7%22S+103%C2%B046'26.8%22E/@-3.5793472,103.7740972,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.5793472!4d103.7740972?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",Luar Ring 1 TEMS,12,-3.5793472,103.7740972
