Desa/Kelurahan,Kecamatan,Kabupaten,Provinsi,Program PPM,Sektor,Lokasi,Latitude,Longitude,id
Desa Lingga,Lawang Kidul,Muara Enim,Sumatera Selatan,Suscomdev Lingkar Tambang - Smart Green House Melon.,Perkebunan,"https://www.google.com/maps/place/3%C2%B043'30.5%22S+103%C2%B047'52.5%22E/@-3.7251444,103.7979111,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.7251444!4d103.7979111?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7251444,103.7979111,1
Desa Tegal Rejo,Lawang Kidul,Muara Enim,Sumatera Selatan,Program Itik Petelur - Telur Omega.,Peternakan,"https://www.google.com/maps/place//@-3.7475753,103.8051114,552m/data=!3m1!1e3!4m6!1m5!3m4!2zM8KwNDQnNTEuNCJTIDEwM8KwNDgnMTguNiJF!8m2!3d-3.7476056!4d103.8051528?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7475753,103.8051114,2
Kelurahan Pasar Tanjung Enim,Lawang Kidul,Muara Enim,Sumatera Selatan,Santri Agropreneur Al Barokah - Pembibitan Tanaman Kayu Keras & Hidroponik Sayur.,Perkebunan,"https://www.google.com/maps/place/Jami'+Mosque+PT+Bukit+Asam/@-3.7545914,103.7808425,4547m/data=!3m1!1e3!4m14!1m7!3m6!1s0x2e39f1a761b2e49b:0xbf87b56123984c39!2sJami'+Mosque+PT+Bukit+Asam!8m2!3d-3.7546129!4d103.7911208!16s%2Fg%2F12hqr4pjh!3m5!1s0x2e39f1a761b2e49b:0xbf87b56123984c39!8m2!3d-3.7546129!4d103.7911208!16s%2Fg%2F12hqr4pjh?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7545914,103.7808425,3
Kelurahan Tanjung Enim,Lawang Kidul,Muara Enim,Sumatera Selatan,SIBA CENTER,Industri,"https://www.google.com/maps/place/SIBA+Center+(Sentra+Industri+Bukit+Asam)/@-3.7444552,103.7882825,4548m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e39f1212b4d3879:0xa2998ae023527637!8m2!3d-3.7444767!4d103.7985608!16s%2Fg%2F11pg532kq7?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7444552,103.7882825,4
Kelurahan Tanjung Enim Selatan,Lawang Kidul,Muara Enim,Sumatera Selatan,-,Perkebunan,"https://www.google.com/maps/place/Tanjung+Enim+Selatan,+Lawang+Kidul,+Muara+Enim+Regency,+South+Sumatra/@-3.7676715,103.7008305,72758m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e39f258d4d65c25:0x344af9d6356fdb00!8m2!3d-3.7679167!4d103.8738031!16s%2Fg%2F120s23z7?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7676715,103.7008305,5
Desa Keban Agung,Lawang Kidul,Muara Enim,Sumatera Selatan,Kolam Pangan Terpadu - Budidaya Ikan Air Tawar RAS System & Hidroponik Sayur.,Perikanan,"https://www.google.com/maps/place//@-3.7740112,103.8050438,1137m/data=!3m1!1e3!4m6!1m5!3m4!2zM8KwNDYnMjYuNyJTIDEwM8KwNDgnMTkuOCJF!8m2!3d-3.7740861!4d103.8054944?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7740112,103.8050438,6
Desa Darmo,Lawang Kidul,Muara Enim,Sumatera Selatan,Budidaya Puyuh Petelur,Peternakan,"google.com/maps/place//@-3.8245239,103.8062894,1137m/data=!3m1!1e3!4m11!1m5!3m4!2zM8KwNDknMjguNCJTIDEwM8KwNDgnMjQuNCJF!8m2!3d-3.8245667!4d103.8067722!3m4!1s0x0:0x3f5cabe36f0a6549!8m2!3d-3.824567!4d103.8067728?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8245239,103.8062894,7
Desa Darmo,Lawang Kidul,Muara Enim,Sumatera Selatan,Cahaya Tani,Perkebunan,"https://www.google.com/maps/@-3.8230244,103.8092898,301m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.8230244,103.8092898,8
Desa Tanjung Raja,Muara Enim,Muara Enim,Sumatera Selatan,Pembibitan Tanjung Raja,Perkebunan,"https://www.google.com/maps/place/Tanjung+Raja,+Muara+Enim,+Muara+Enim+Regency,+South+Sumatra/@-3.7093289,103.7952476,388m/data=!3m1!1e3!4m6!3m5!1s0x2e39f14ae8de6ec5:0xe988588594032634!8m2!3d-3.7099076!4d103.7926475!16s%2Fg%2F121zcql3?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7093289,103.7952476,9
Desa Tanjung Raja,Muara Enim,Muara Enim,Sumatera Selatan,PLTS Irigasi Tanjung Raja,Insfrastruktur,"https://www.google.com/maps/place/3%C2%B042'10.6%22S+103%C2%B047'54.0%22E/@-3.7029333,103.798325,1137m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d-3.7029333!4d103.798325?entry=ttu&g_ep=EgoyMDI2MDkxMy4wIKXMDSoASAFQAw%3D%3D",-3.7029333,103.798325,10
